IncidentID,Date,Tower,Description,Repair Cost,Downtime,Non-financial impact,Total Severity
560,25/07/2016,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6000,51,,2
561,30/07/2016,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2511,52,,2
562,06/08/2016,22,Ventilation error for the generator resulted in overheating (forced shutdown).,2423,49,,1
563,12/08/2016,2,Extreme weather resulted in substructure developing acrack.,323218,644,,3
564,13/08/2016,16,Market demand on the vessel resulted in it being unavailable .,1500,73,,2
565,15/08/2016,9,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",23142,67,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
566,16/08/2016,3,Ventilation error for the generator resulted in overheating (forced shutdown).,2577,47,,1
567,19/08/2016,17,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7744,24,Slippery floor,2
568,25/08/2016,1,Extreme weather resulted in blade developing an edge crack.,1090794,304,,4
569,29/08/2016,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7398,44,,2
570,29/08/2016,19,Wear of the cable resulted in short circuit.,44387,181,,2
571,30/08/2016,9,Incorrect input for the yaw system resulted in trip (forced shutdown).,2537,51,,2
572,03/09/2016,17,Ventilation error for the generator resulted in overheating (forced shutdown).,2694,48,,1
573,10/09/2016,28,Market demand on the vessel resulted in it being unavailable .,1500,71,,2
574,14/09/2016,35,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5785,44,,2
575,16/09/2016,23,Incorrect input for the pitch system resulted in trip (forced shutdown).,2406,51,,2
576,19/09/2016,21,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8673,26,Slippery floor,2
577,24/09/2016,34,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6947,50,,2
578,28/09/2016,8,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2642,48,,1
579,02/10/2016,26,Incorrect input for the pitch system resulted in trip (forced shutdown).,2656,47,,1
580,07/10/2016,8,Overload of the gearbox resulted in tooth failure.,67730,162,,2
581,12/10/2016,29,Ventilation error for the generator resulted in overheating (forced shutdown).,2531,50,,2
582,14/10/2016,5,Incorrect input for the pitch system resulted in trip (forced shutdown).,2692,44,,1
583,14/10/2016,34,Extreme weather resulted in tower vibration (forced shutdown).,3169,66,,2
584,20/10/2016,5,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8002,25,Slippery floor,2
585,20/10/2016,15,Wear of the cable resulted in short circuit.,57670,160,,2
586,27/10/2016,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2506,50,,2
587,30/10/2016,14,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7396,48,,2
588,01/11/2016,7,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
589,04/11/2016,2,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",3187352,4804,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
590,04/11/2016,13,Voltage spike for the generator resulted in trip (forced shutdown).,2412,51,,2
591,08/11/2016,32,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7445,46,,2
592,15/11/2016,31,Wear of the cable resulted in short circuit.,41305,176,,2
593,22/11/2016,5,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5541,51,,2
594,26/11/2016,12,Incorrect input for the yaw system resulted in trip (forced shutdown).,2555,52,,2
595,01/12/2016,16,Voltage spike for the generator resulted in trip (forced shutdown).,2364,47,,1
596,04/12/2016,6,Incorrect input for the pitch system resulted in trip (forced shutdown).,2570,44,,1
597,07/12/2016,16,Incorrect input for the pitch system resulted in trip (forced shutdown).,2464,52,,2
598,12/12/2016,13,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6379,48,,2
599,14/12/2016,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2669,51,,2
600,21/12/2016,36,Incorrect input for the yaw system resulted in trip (forced shutdown).,2532,44,,1
601,27/12/2016,33,Incorrect input for the yaw system resulted in trip (forced shutdown).,2446,50,,1
602,01/01/2017,21,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5955,49,,2
603,08/01/2017,8,Incorrect input for the brake system resulted in trip (forced shutdown).,2472,51,,2
604,12/01/2017,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2443,45,,1
605,14/01/2017,9,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7168,46,,2
606,20/01/2017,35,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7957,22,Slippery floor,2
607,24/01/2017,7,Imbalance of the blade resulted in vibration (forced shutdown).,21379,72,,2
608,27/01/2017,2,Imbalance of the blade resulted in vibration (forced shutdown).,22930,77,,2
609,02/02/2017,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7989,23,Slippery floor,2
610,08/02/2017,7,Market demand on the vessel resulted in it being unavailable .,1500,78,,2
611,09/02/2017,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6860,49,,2
612,10/02/2017,31,Incorrect input for the pitch system resulted in trip (forced shutdown).,2350,48,,1
613,11/02/2017,5,Incorrect input for the yaw system resulted in trip (forced shutdown).,2521,50,,2
614,13/02/2017,19,Incorrect input for the pitch system resulted in trip (forced shutdown).,2536,45,,1
615,14/02/2017,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2611,48,,1
616,15/02/2017,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6054,51,,2
617,17/02/2017,33,Market demand on the vessel resulted in it being unavailable .,1500,65,,2
618,23/02/2017,22,Ventilation error for the generator resulted in overheating (forced shutdown).,2583,48,,1
619,25/02/2017,33,Extreme weather resulted in tower vibration (forced shutdown).,2911,78,,2
620,02/03/2017,33,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6402,23,Slippery floor,1
621,07/03/2017,18,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2436,46,,1
622,08/03/2017,32,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6542,46,,2
623,10/03/2017,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6864,50,,2
624,14/03/2017,12,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5963,52,,2
625,19/03/2017,19,Extreme weather resulted in tower vibration (forced shutdown).,2885,71,,2
626,25/03/2017,14,Incorrect input for the yaw system resulted in trip (forced shutdown).,2697,48,,1
627,25/03/2017,2,Incorrect input for the pitch system resulted in trip (forced shutdown).,2658,52,,2
628,29/03/2017,19,Incorrect input for the yaw system resulted in trip (forced shutdown).,2454,46,,1
629,31/03/2017,27,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7747,23,Slippery floor,2
630,06/04/2017,12,Extreme weather resulted in tower vibration (forced shutdown).,2820,76,,2
631,13/04/2017,8,Incorrect input for the pitch system resulted in trip (forced shutdown).,2440,44,,1
632,17/04/2017,31,Incorrect input for the yaw system resulted in trip (forced shutdown).,2641,50,,2
633,22/04/2017,7,Extreme weather resulted in blade developing an edge crack.,958985,323,,4
634,25/04/2017,14,Ventilation error for the generator resulted in overheating (forced shutdown).,2514,49,,1
635,25/04/2017,19,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",19748,66,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
636,28/04/2017,6,Overload of the gearbox resulted in tooth failure.,62730,184,,2
637,03/05/2017,35,Incorrect input for the pitch system resulted in trip (forced shutdown).,2658,51,,2
638,07/05/2017,23,Extreme weather resulted in tower vibration (forced shutdown).,2799,71,,2
639,12/05/2017,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2577,48,,1
640,16/05/2017,16,Incorrect input for the brake system resulted in trip (forced shutdown).,2463,52,,2
641,16/05/2017,4,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6739,45,,2
642,23/05/2017,26,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",3275842,4122,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
643,30/05/2017,12,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7486,22,Slippery floor,2
644,31/05/2017,19,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6389,47,,2
645,04/06/2017,28,Imbalance of the blade resulted in vibration (forced shutdown).,20754,70,,2
646,10/06/2017,3,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2416,45,,1
647,13/06/2017,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2657,51,,2
648,15/06/2017,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2544,51,,2
649,22/06/2017,16,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7114,51,,2
650,26/06/2017,15,Incorrect input for the pitch system resulted in trip (forced shutdown).,2517,48,,1
651,29/06/2017,28,Imbalance of the blade resulted in vibration (forced shutdown).,17782,77,,2
652,30/06/2017,28,Overload of the gearbox resulted in tooth failure.,65493,166,,2
653,07/07/2017,35,Incorrect input for the yaw system resulted in trip (forced shutdown).,2489,50,,1
654,12/07/2017,2,Imbalance of the blade resulted in vibration (forced shutdown).,19648,72,,2
655,14/07/2017,7,Imbalance of the blade resulted in vibration (forced shutdown).,24668,76,,2
656,15/07/2017,4,Ventilation error for the generator resulted in overheating (forced shutdown).,2352,44,,1
657,19/07/2017,26,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",22878,67,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
658,21/07/2017,7,Overload of the gearbox resulted in tooth failure.,59939,161,,2
659,21/07/2017,34,Incorrect input for the yaw system resulted in trip (forced shutdown).,2468,46,,1
660,23/07/2017,14,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7602,23,Slippery floor,2
661,27/07/2017,24,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6451,23,Slippery floor,1
662,27/07/2017,32,Ventilation error for the generator resulted in overheating (forced shutdown).,2351,50,,1
663,31/07/2017,18,Voltage spike for the generator resulted in trip (forced shutdown).,2665,45,,1
664,07/08/2017,28,Incorrect input for the yaw system resulted in trip (forced shutdown).,2338,49,,1
665,13/08/2017,1,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1026322,623,"Collision filmed, national news media; 80 complaints.  ",4
666,19/08/2017,13,Imbalance of the blade resulted in vibration (forced shutdown).,24006,79,,2
667,21/08/2017,12,Incorrect input for the yaw system resulted in trip (forced shutdown).,2572,52,,2
668,25/08/2017,4,Imbalance of the blade resulted in vibration (forced shutdown).,19050,66,,2
669,27/08/2017,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2417,48,,1
670,02/09/2017,1,Imbalance of the blade resulted in vibration (forced shutdown).,23293,77,,2
671,02/09/2017,4,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
672,07/09/2017,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7692,26,Slippery floor,2
673,11/09/2017,27,Incorrect input for the pitch system resulted in trip (forced shutdown).,2601,50,,2
674,16/09/2017,4,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2541,53,,2
675,21/09/2017,20,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7227,44,,2
676,26/09/2017,1,Incorrect input for the yaw system resulted in trip (forced shutdown).,2367,47,,1
677,27/09/2017,11,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7337,46,,2
678,02/10/2017,17,Imbalance of the blade resulted in vibration (forced shutdown).,19395,76,,2
679,05/10/2017,15,Corrosion of the tower resulted in loss of strength.,70681,728,,3
680,07/10/2017,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5726,49,,2
681,12/10/2017,7,Extreme weather resulted in blade developing an edge crack.,989610,366,,4
682,17/10/2017,7,Overload of the gearbox resulted in tooth failure.,78604,184,,3
683,22/10/2017,12,Imbalance of the blade resulted in vibration (forced shutdown).,21759,72,,2
684,26/10/2017,16,Incorrect input for the yaw system resulted in trip (forced shutdown).,2362,49,,1
685,30/10/2017,27,Incorrect input for the pitch system resulted in trip (forced shutdown).,2633,49,,1
686,05/11/2017,28,Incorrect input for the yaw system resulted in trip (forced shutdown).,2571,43,,1
687,09/11/2017,33,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
688,10/11/2017,3,Overload of the gearbox resulted in tooth failure.,64245,152,,2
689,11/11/2017,23,Extreme weather resulted in tower vibration (forced shutdown).,2936,65,,2
690,15/11/2017,1,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2461,46,,1
691,20/11/2017,16,Imbalance of the blade resulted in vibration (forced shutdown).,19627,65,,2
692,22/11/2017,12,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",782368,678,"Collision filmed, national news media; 80 complaints.  ",3
693,25/11/2017,28,Market demand on the vessel resulted in it being unavailable .,1500,70,,2
694,26/11/2017,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2453,44,,1
695,01/12/2017,28,Incorrect input for the pitch system resulted in trip (forced shutdown).,2558,43,,1
696,03/12/2017,34,Imbalance of the blade resulted in vibration (forced shutdown).,23199,75,,2
697,09/12/2017,17,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5854,46,,2
698,12/12/2017,34,Incorrect input for the pitch system resulted in trip (forced shutdown).,2587,50,,2
699,18/12/2017,3,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5816,51,,2
700,18/12/2017,24,Voltage spike for the generator resulted in trip (forced shutdown).,2487,52,,2
701,20/12/2017,25,Overload of the gearbox resulted in tooth failure.,82481,153,,3
702,23/12/2017,31,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7553,26,Slippery floor,2
703,25/12/2017,4,Incorrect input for the pitch system resulted in trip (forced shutdown).,2380,52,,2
704,29/12/2017,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2541,48,,1
705,31/12/2017,7,Extreme weather resulted in substructure developing acrack.,287494,732,,3
706,02/01/2018,26,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6779,49,,2
707,06/01/2018,4,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6137,44,,2
708,09/01/2018,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2378,50,,1
709,10/01/2018,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2648,44,,1
710,17/01/2018,31,Imbalance of the blade resulted in vibration (forced shutdown).,22203,71,,2
711,21/01/2018,35,Overload of the gearbox resulted in tooth failure.,76799,175,,3
712,24/01/2018,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2378,52,,2
713,24/01/2018,36,Incorrect input for the yaw system resulted in trip (forced shutdown).,2435,48,,1
714,31/01/2018,6,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2606,51,,2
715,01/02/2018,35,Incorrect input for the yaw system resulted in trip (forced shutdown).,2449,47,,1
716,04/02/2018,22,Imbalance of the blade resulted in vibration (forced shutdown).,23472,66,,2
717,09/02/2018,18,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2381,51,,2
718,13/02/2018,36,Incorrect input for the brake system resulted in trip (forced shutdown).,2661,46,,1
719,18/02/2018,7,Imbalance of the blade resulted in vibration (forced shutdown).,25190,76,,2
720,22/02/2018,16,Incorrect input for the yaw system resulted in trip (forced shutdown).,2612,49,,1
721,25/02/2018,12,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1048341,640,"Collision filmed, national news media; 80 complaints.  ",4
722,25/02/2018,10,Ventilation error for the generator resulted in overheating (forced shutdown).,2608,49,,1
723,01/03/2018,36,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7427,48,,2
724,06/03/2018,5,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7157,46,,2
725,08/03/2018,21,Incorrect input for the yaw system resulted in trip (forced shutdown).,2664,45,,1
726,09/03/2018,3,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",18458,67,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
727,13/03/2018,27,Imbalance of the blade resulted in vibration (forced shutdown).,22107,72,,2
728,13/03/2018,14,Extreme weather resulted in blade developing an edge crack.,803104,349,,3
729,15/03/2018,25,Incorrect input for the pitch system resulted in trip (forced shutdown).,2397,53,,2
730,21/03/2018,15,Extreme weather resulted in tower vibration (forced shutdown).,3242,77,,2
731,23/03/2018,31,Imbalance of the blade resulted in vibration (forced shutdown).,19462,67,,2
732,26/03/2018,19,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2642,49,,1
733,31/03/2018,33,Incorrect input for the yaw system resulted in trip (forced shutdown).,2392,45,,1
734,07/04/2018,6,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6931,51,,2
735,09/04/2018,7,Market demand on the vessel resulted in it being unavailable .,1500,67,,2
736,14/04/2018,29,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2654,50,,2
737,21/04/2018,15,Incorrect input for the pitch system resulted in trip (forced shutdown).,2618,45,,1
738,24/04/2018,4,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7498,22,Slippery floor,2
739,25/04/2018,6,Incorrect input for the pitch system resulted in trip (forced shutdown).,2457,48,,1
740,28/04/2018,31,Voltage spike for the generator resulted in trip (forced shutdown).,2476,49,,1
741,01/05/2018,10,Incorrect input for the pitch system resulted in trip (forced shutdown).,2317,49,,1
742,07/05/2018,36,Incorrect input for the pitch system resulted in trip (forced shutdown).,2499,49,,1
743,09/05/2018,5,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
744,16/05/2018,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2404,49,,1
745,21/05/2018,2,Incorrect input for the brake system resulted in trip (forced shutdown).,2420,49,,1
746,26/05/2018,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6428,53,,2
747,29/05/2018,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5680,53,,2
748,04/06/2018,33,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8470,22,Slippery floor,2
749,06/06/2018,28,Overload of the gearbox resulted in tooth failure.,69637,179,,2
750,13/06/2018,20,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2341,52,,2
751,14/06/2018,36,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8400,24,Slippery floor,2
752,21/06/2018,17,Incorrect input for the brake system resulted in trip (forced shutdown).,2437,48,,1
753,26/06/2018,34,Overload of the gearbox resulted in tooth failure.,60129,184,,2
754,28/06/2018,19,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7072,45,,2
755,04/07/2018,24,Incorrect input for the pitch system resulted in trip (forced shutdown).,2318,52,,2
756,11/07/2018,7,Overload of the gearbox resulted in tooth failure.,81248,175,,3
757,11/07/2018,22,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2645,47,,1
758,13/07/2018,18,Incorrect input for the brake system resulted in trip (forced shutdown).,2498,48,,1
759,18/07/2018,7,Imbalance of the blade resulted in vibration (forced shutdown).,23403,73,,2
760,20/07/2018,15,Extreme weather resulted in substructure developing acrack.,324705,655,,3
761,27/07/2018,20,Incorrect input for the brake system resulted in trip (forced shutdown).,2369,46,,1
762,30/07/2018,11,Market demand on the vessel resulted in it being unavailable .,1500,71,,2
763,05/08/2018,2,Incorrect input for the pitch system resulted in trip (forced shutdown).,2489,46,,1
764,09/08/2018,13,Incorrect input for the yaw system resulted in trip (forced shutdown).,2404,47,,1
765,15/08/2018,10,Ventilation error for the generator resulted in overheating (forced shutdown).,2433,48,,1
766,15/08/2018,27,Extreme weather resulted in blade developing an edge crack.,936836,334,,3
767,21/08/2018,3,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6384,23,Slippery floor,1
768,24/08/2018,4,Incorrect input for the pitch system resulted in trip (forced shutdown).,2631,44,,1
769,31/08/2018,20,Extreme weather resulted in blade developing an edge crack.,862352,329,,3
770,04/09/2018,19,Imbalance of the blade resulted in vibration (forced shutdown).,24192,69,,2
771,09/09/2018,2,Extreme weather resulted in tower vibration (forced shutdown).,3068,75,,2
772,10/09/2018,19,Incorrect input for the pitch system resulted in trip (forced shutdown).,2622,48,,1
773,12/09/2018,29,Extreme weather resulted in tower vibration (forced shutdown).,2830,68,,2
774,13/09/2018,29,Incorrect input for the pitch system resulted in trip (forced shutdown).,2350,52,,2
775,19/09/2018,23,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5893,44,,2
776,21/09/2018,9,Voltage spike for the generator resulted in trip (forced shutdown).,2585,46,,1
777,25/09/2018,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7035,47,,2
778,29/09/2018,18,Wear of the cable resulted in short circuit.,48152,174,,2
779,04/10/2018,7,Overload of the gearbox resulted in tooth failure.,65225,170,,2
780,05/10/2018,35,Corrosion of the tower resulted in loss of strength.,82579,722,,3
781,10/10/2018,2,Overload of the gearbox resulted in tooth failure.,61997,164,,2
782,17/10/2018,15,Incorrect input for the yaw system resulted in trip (forced shutdown).,2474,47,,1
783,19/10/2018,36,Voltage spike for the generator resulted in trip (forced shutdown).,2467,49,,1
784,23/10/2018,9,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6947,25,Slippery floor,2
785,29/10/2018,11,Incorrect input for the pitch system resulted in trip (forced shutdown).,2507,46,,1
786,04/11/2018,5,Imbalance of the blade resulted in vibration (forced shutdown).,18365,66,,2
787,07/11/2018,31,Incorrect input for the brake system resulted in trip (forced shutdown).,2316,53,,2
788,13/11/2018,14,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1059105,629,"Collision filmed, national news media; 80 complaints.  ",4
789,13/11/2018,14,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5911,50,,2
790,16/11/2018,7,Voltage spike for the generator resulted in trip (forced shutdown).,2565,51,,2
791,19/11/2018,3,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5824,44,,2
792,22/11/2018,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7241,48,,2
793,25/11/2018,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5996,47,,2
794,26/11/2018,2,Overload of the gearbox resulted in tooth failure.,80670,167,,3
795,26/11/2018,34,Incorrect input for the pitch system resulted in trip (forced shutdown).,2450,49,,1
796,28/11/2018,30,Incorrect input for the yaw system resulted in trip (forced shutdown).,2536,51,,2
797,03/12/2018,18,Imbalance of the blade resulted in vibration (forced shutdown).,24664,75,,2
798,09/12/2018,22,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7331,45,,2
799,11/12/2018,21,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6808,46,,2
800,18/12/2018,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2637,48,,1
801,19/12/2018,18,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6489,26,Slippery floor,2
802,21/12/2018,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6116,47,,2
803,27/12/2018,3,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6528,45,,2
804,31/12/2018,23,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5890,47,,2
805,06/01/2019,10,Incorrect input for the brake system resulted in trip (forced shutdown).,2370,51,,2
806,06/01/2019,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6749,51,,2
807,13/01/2019,14,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2455,47,,1
808,17/01/2019,23,Extreme weather resulted in tower vibration (forced shutdown).,3279,76,,2
809,23/01/2019,28,Incorrect input for the yaw system resulted in trip (forced shutdown).,2309,44,,1
810,30/01/2019,28,Ventilation error for the generator resulted in overheating (forced shutdown).,2427,51,,2
811,04/02/2019,11,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2409,49,,1
812,09/02/2019,15,Incorrect input for the brake system resulted in trip (forced shutdown).,2517,51,,2
813,16/02/2019,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5878,44,,2
814,20/02/2019,19,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6421,23,Slippery floor,1
815,24/02/2019,1,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",997715,731,"Collision filmed, national news media; 80 complaints.  ",4
816,27/02/2019,2,Incorrect input for the yaw system resulted in trip (forced shutdown).,2688,49,,2
817,03/03/2019,23,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2493,48,,1
818,04/03/2019,12,Incorrect input for the pitch system resulted in trip (forced shutdown).,2457,47,,1
819,06/03/2019,29,Imbalance of the blade resulted in vibration (forced shutdown).,21337,78,,2
820,08/03/2019,10,Market demand on the vessel resulted in it being unavailable .,1500,79,,2
821,10/03/2019,18,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1036342,707,"Collision filmed, national news media; 80 complaints.  ",4
822,14/03/2019,31,Imbalance of the blade resulted in vibration (forced shutdown).,23751,72,,2
823,16/03/2019,35,Incorrect input for the yaw system resulted in trip (forced shutdown).,2652,52,,2
824,21/03/2019,24,Ventilation error for the generator resulted in overheating (forced shutdown).,2319,52,,2
825,24/03/2019,21,Incorrect input for the pitch system resulted in trip (forced shutdown).,2601,48,,1
826,31/03/2019,34,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
827,31/03/2019,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6455,49,,2
828,03/04/2019,18,Ventilation error for the generator resulted in overheating (forced shutdown).,2601,52,,2
829,08/04/2019,2,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7989,24,Slippery floor,2
830,09/04/2019,23,Incorrect input for the yaw system resulted in trip (forced shutdown).,2394,49,,1
831,09/04/2019,19,Incorrect input for the pitch system resulted in trip (forced shutdown).,2480,44,,1
832,13/04/2019,9,Incorrect input for the pitch system resulted in trip (forced shutdown).,2433,51,,2
833,13/04/2019,14,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",957458,705,"Collision filmed, national news media; 80 complaints.  ",4
834,15/04/2019,14,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2528,47,,1
835,20/04/2019,17,Incorrect input for the yaw system resulted in trip (forced shutdown).,2551,45,,1
836,22/04/2019,28,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7544,26,Slippery floor,2
837,24/04/2019,13,Incorrect input for the brake system resulted in trip (forced shutdown).,2579,53,,2
838,28/04/2019,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2361,52,,2
839,03/05/2019,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8432,22,Slippery floor,2
840,03/05/2019,13,Overload of the gearbox resulted in tooth failure.,71123,151,,2
841,08/05/2019,20,Imbalance of the blade resulted in vibration (forced shutdown).,20276,78,,2
842,11/05/2019,33,Extreme weather resulted in substructure developing acrack.,335885,671,,3
843,15/05/2019,24,Incorrect input for the pitch system resulted in trip (forced shutdown).,2621,47,,1
